Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	PD62027a	PD62029c	PD62030a	PD62031a	PD62033a	PD62034a	PD62037a	PD62037c	PD62038a	PD62038c	PD62039a	PD62041a	PD62042a	PD62043a	PD62046a	PD62047a	PD62049a	PD62051a	
Amplification Peak 1	10q22.3	chr10:76314368-82242720(probes 168969:169526)	chr10:76324343-80634234(probes 168970:169399)	chr10:76324343-80664089(probes 168970:169402)	0.11037	 0.11037		0: t<0.25; 1: 0.25<t< 0.9; 2: t>0.9	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	
Deletion Peak  1	1p36.33 	chr1:1-30726027(probes 1:3018)                      	chr1:2165656-2225261(probes 146:151)                	chr1:1-30745976(probes 1:3020)                      	0.015956	   0.015956		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	
Deletion Peak  2	1p13.1  	chr1:116549480-116763935(probes 11629:11651)    	chr1:116559436-116724037(probes 11630:11647)    	chr1:116579346-116724037(probes 11632:11647)    	0.099327	   0.098411		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Deletion Peak  3	1q23.3  	chr1:160578601-160801970(probes 13857:13878)    	chr1:160598117-160766139(probes 13859:13874)    	chr1:160425148-160841279(probes 13839:13885)    	0.033205	   0.032499		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	
Deletion Peak  4	5q31.2  	chr5:139622839-139858012(probes 99167:99177)    	chr5:139632835-139858012(probes 99168:99177)    	chr5:139662823-139809424(probes 99171:99172)    	0.13731	    0.13731		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	
Deletion Peak  5	5q33.3  	chr5:157055474-157492852(probes 100924:100969)  	chr5:157075466-157492852(probes 100926:100969)  	chr5:157095459-157502848(probes 100928:100970)  	0.011213	   0.011213		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	1	1	
Deletion Peak  6	6p22.2  	chr6:26174620-26285436(probes 105961:105972)      	chr6:26184256-26285436(probes 105962:105972)      	chr6:25969408-27275395(probes 105932:106032)      	9.7209e-09	 9.7209e-09		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	
Deletion Peak  7	9p22.1  	chr9:18899314-19069594(probes 151464:151479)      	chr9:18908868-19069594(probes 151465:151479)      	chr9:18889586-19079593(probes 151462:151480)      	0.13074	    0.13003		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	
Deletion Peak  8	11p15.4 	chr11:6600883-6719547(probes 175349:175363)        	chr11:6608802-6701463(probes 175350:175361)        	chr11:6632560-6710505(probes 175353:175362)        	0.09493	   0.098411		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	
Deletion Peak  9	11q22.3 	chr11:108092537-108384626(probes 185071:185100)	chr11:108102503-108384626(probes 185072:185100)	chr11:108132401-108152194(probes 185075:185076)	0.13731	    0.13731		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
Deletion Peak 10	12p13.31	chr12:6936741-6971023(probes 188421:188430)        	chr12:6937981-6971023(probes 188422:188430)        	chr12:6937981-7001128(probes 188422:188435)        	0.0042587	  0.0042587		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	
Deletion Peak 11	14q32.33	chr14:105671208-105919428(probes 219239:219289)	chr14:105856025-105863868(probes 219266:219267)	chr14:105707885-105864733(probes 219243:219277)	0.0011972	  0.0011972		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	
Deletion Peak 12	15q25.1 	chr15:81195643-81322584(probes 225387:225403)    	chr15:81205639-81322584(probes 225388:225403)    	chr15:81269557-81337965(probes 225392:225407)    	0.0033132	  0.0033132		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	
Deletion Peak 13	17p13.1 	chr17:8127812-8205458(probes 236167:236178)        	chr17:8127812-8205458(probes 236167:236178)        	chr17:8117820-8260131(probes 236165:236188)        	0.0011406	  0.0011406		0: t>-0.25; 1: -0.25>t> -1.3; 2: t< -1.3	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	
