gistic_name	gistic_peak	residual.q.values	chrom	start	end	gistic_call	difficult_frac	peak_size	ascat_agree	ascat_disagree	concordance	qc_status	qc_and_max_10Mb	samples
Amplification Peak 1	chr10:76314368-82242720	0.11037	chr10	76314368	82242720	gain	0.189542894888833	5928352	3	0	1	FAIL	FAIL	PD62029c,PD62038a,PD62041a
Deletion Peak  1	chr1:1-30726027	0.015956	chr1	1	30726027	loss	0.228897384907505	30726026	5	1	0.833333333333333	PASS	FAIL	PD62030a,PD62034a,PD62039a,PD62041a,PD62049a,PD62051a
Deletion Peak  2	chr1:116549480-116763935	0.098411	chr1	116549480	116763935	loss	0.416437014758341	214455	2	0	1	FAIL	FAIL	PD62030a,PD62051a
Deletion Peak  3	chr1:160578601-160801970	0.032499	chr1	160578601	160801970	loss	0.137481029149076	223369	6	0	1	PASS	PASS	PD62027a,PD62038a,PD62038c,PD62039a,PD62041a,PD62051a
Deletion Peak  4	chr5:139622839-139858012	0.13731	chr5	139622839	139858012	loss	0.184544994535937	235173	8	0	1	FAIL	FAIL	PD62030a,PD62038c,PD62039a,PD62041a,PD62042a,PD62046a,PD62049a,PD62051a
Deletion Peak  5	chr5:157055474-157492852	0.011213	chr5	157055474	157492852	loss	0.101468295158879	437378	8	0	1	PASS	PASS	PD62030a,PD62038c,PD62039a,PD62041a,PD62042a,PD62046a,PD62049a,PD62051a
Deletion Peak  6	chr6:26174620-26285436	9.7209e-09	chr6	26174620	26285436	loss	0.110823346809125	110816	7	0	1	PASS	PASS	PD62027a,PD62030a,PD62031a,PD62037a,PD62037c,PD62041a,PD62046a
Deletion Peak  7	chr9:18899314-19069594	0.13003	chr9	18899314	19069594	loss	0.124377495889124	170280	2	0	1	FAIL	FAIL	PD62042a,PD62049a
Deletion Peak  8	chr11:6600883-6719547	0.098411	chr11	6600883	6719547	loss	0.104454594485269	118664	4	0	1	PASS	PASS	PD62030a,PD62031a,PD62041a,PD62043a
Deletion Peak  9	chr11:108092537-108384626	0.13731	chr11	108092537	108384626	loss	0.186809499844226	292089	2	0	1	FAIL	FAIL	PD62039a,PD62041a
Deletion Peak 10	chr12:6936741-6971023	0.0042587	chr12	6936741	6971023	loss	0.252581529665714	34282	4	0	1	FAIL	FAIL	PD62030a,PD62037a,PD62037c,PD62041a
Deletion Peak 11	chr14:105671208-105919428	0.0011972	chr14	105671208	105919428	loss	0.614374345338812	248220	1	2	0.333333333333333	FAIL	FAIL	PD62037a,PD62037c,PD62039a
Deletion Peak 12	chr15:81195643-81322584	0.0033132	chr15	81195643	81322584	loss	0.129319920277924	126941	2	3	0.4	FAIL	FAIL	PD62031a,PD62037a,PD62037c,PD62038a,PD62038c
Deletion Peak 13	chr17:8127812-8205458	0.0011406	chr17	8127812	8205458	loss	0.188522267727893	77646	7	0	1	FAIL	FAIL	PD62027a,PD62037a,PD62037c,PD62038a,PD62038c,PD62041a,PD62043a
Deletion Peak 14	chr17:41130861-41349437	0.00019142	chr17	41130861	41349437	loss	0.2304141351292	218576	6	0	1	PASS	PASS	PD62038a,PD62039a,PD62041a,PD62042a,PD62043a,PD62049a
Deletion Peak 15	chr19:3936472-3976600	0.13731	chr19	3936472	3976600	loss	0.371710526315789	40128	3	0	1	FAIL	FAIL	PD62030a,PD62039a,PD62042a
Deletion Peak 16	chr19:58488848-58617616	0.19131	chr19	58488848	58617616	loss	0.378176254970179	128768	2	0	1	FAIL	FAIL	PD62030a,PD62037a
