gistic_name	gistic_peak	chrom	start	end	residual.q.values	difficult_frac	peak_size	sample	gistic_call	match	fraction_overlap	ascat_start	ascat_end	ascat_size
Amplification Peak 1	chr10:76314368-82242720	chr10	76314368	82242720	0.11037	0.189542894888833	5928352	PD62029c	gain	Match	0.724533103882309	58216274	80609655	22393382
Amplification Peak 1	chr10:76314368-82242720	chr10	76314368	82242720	0.11037	0.189542894888833	5928352	PD62038a	gain	Match	0.936828997868379	76324343	81878195	5553853
Amplification Peak 1	chr10:76314368-82242720	chr10	76314368	82242720	0.11037	0.189542894888833	5928352	PD62041a	gain	Match	1	71777631	133625894	61848264
Deletion Peak  1	chr1:1-30726027	chr1	1	30726027	0.015956	0.228897384907505	30726026	PD62030a	loss	Match	0.952783384587926	1450780	116579345	115128566
Deletion Peak  1	chr1:1-30726027	chr1	1	30726027	0.015956	0.228897384907505	30726026	PD62034a	loss	Match	0.972744116901284	826681	30715242	29888562
Deletion Peak  1	chr1:1-30726027	chr1	1	30726027	0.015956	0.228897384907505	30726026	PD62039a	loss	Match	0.9730951222558	826681	35479179	34652499
Deletion Peak  1	chr1:1-30726027	chr1	1	30726027	0.015956	0.228897384907505	30726026	PD62041a	loss	No_match	No_match	No_match	No_match	No_match
Deletion Peak  1	chr1:1-30726027	chr1	1	30726027	0.015956	0.228897384907505	30726026	PD62049a	loss	Match	0.9730951222558	826681	32162317	31335637
Deletion Peak  1	chr1:1-30726027	chr1	1	30726027	0.015956	0.228897384907505	30726026	PD62051a	loss	Match	0.9730951222558	826681	248918428	248091748
Deletion Peak  2	chr1:116549480-116763935	chr1	116549480	116763935	0.098411	0.416437014758341	214455	PD62030a	loss	Match	0.53394169433357	116579522	116694028	114507
Deletion Peak  2	chr1:116549480-116763935	chr1	116549480	116763935	0.098411	0.416437014758341	214455	PD62051a	loss	Match	1	826681	248918428	248091748
Deletion Peak  3	chr1:160578601-160801970	chr1	160578601	160801970	0.032499	0.137481029149076	223369	PD62027a	loss	Match	1	160190668	161791486	1600819
Deletion Peak  3	chr1:160578601-160801970	chr1	160578601	160801970	0.032499	0.137481029149076	223369	PD62038a	loss	Match	0.333809374580293	160637179	160711741	74563
Deletion Peak  3	chr1:160578601-160801970	chr1	160578601	160801970	0.032499	0.137481029149076	223369	PD62038c	loss	Match	0.737753503156198	160637179	160831280	194102
Deletion Peak  3	chr1:160578601-160801970	chr1	160578601	160801970	0.032499	0.137481029149076	223369	PD62039a	loss	Match	1	160420920	160801971	381052
Deletion Peak  3	chr1:160578601-160801970	chr1	160578601	160801970	0.032499	0.137481029149076	223369	PD62041a	loss	Match	1	160425183	160824172	398990
Deletion Peak  3	chr1:160578601-160801970	chr1	160578601	160801970	0.032499	0.137481029149076	223369	PD62051a	loss	Match	1	826681	248918428	248091748
Deletion Peak  4	chr5:139622839-139858012	chr5	139622839	139858012	0.13731	0.184544994535937	235173	PD62030a	loss	Match	1	132335767	177295004	44959238
Deletion Peak  4	chr5:139622839-139858012	chr5	139622839	139858012	0.13731	0.184544994535937	235173	PD62038c	loss	Match	1	50402124	181260906	130858783
Deletion Peak  4	chr5:139622839-139858012	chr5	139622839	139858012	0.13731	0.184544994535937	235173	PD62039a	loss	Match	1	45696119	149899424	104203306
Deletion Peak  4	chr5:139622839-139858012	chr5	139622839	139858012	0.13731	0.184544994535937	235173	PD62041a	loss	Match	1	72856031	140842572	67986542
Deletion Peak  4	chr5:139622839-139858012	chr5	139622839	139858012	0.13731	0.184544994535937	235173	PD62042a	loss	Match	1	45695935	140801152	95105218
Deletion Peak  4	chr5:139622839-139858012	chr5	139622839	139858012	0.13731	0.184544994535937	235173	PD62046a	loss	Match	1	52788607	140788673	88000067
Deletion Peak  4	chr5:139622839-139858012	chr5	139622839	139858012	0.13731	0.184544994535937	235173	PD62049a	loss	Match	0.255028191891961	65521464	139682814	74161351
Deletion Peak  4	chr5:139622839-139858012	chr5	139622839	139858012	0.13731	0.184544994535937	235173	PD62051a	loss	Match	1	140238	141526200	141385963
Deletion Peak  5	chr5:157055474-157492852	chr5	157055474	157492852	0.011213	0.101468295158879	437378	PD62030a	loss	Match	1	132335767	177295004	44959238
Deletion Peak  5	chr5:157055474-157492852	chr5	157055474	157492852	0.011213	0.101468295158879	437378	PD62038c	loss	Match	1	50402124	181260906	130858783
Deletion Peak  5	chr5:157055474-157492852	chr5	157055474	157492852	0.011213	0.101468295158879	437378	PD62039a	loss	Match	0.854839852850731	157098824	157472712	373889
Deletion Peak  5	chr5:157055474-157492852	chr5	157055474	157492852	0.011213	0.101468295158879	437378	PD62041a	loss	Match	1	140862894	181260906	40398013
Deletion Peak  5	chr5:157055474-157492852	chr5	157055474	157492852	0.011213	0.101468295158879	437378	PD62042a	loss	Match	1	141095524	181260906	40165383
Deletion Peak  5	chr5:157055474-157492852	chr5	157055474	157492852	0.011213	0.101468295158879	437378	PD62046a	loss	Match	1	141346158	181260906	39914749
Deletion Peak  5	chr5:157055474-157492852	chr5	157055474	157492852	0.011213	0.101468295158879	437378	PD62049a	loss	Match	1	148171155	181260906	33089752
Deletion Peak  5	chr5:157055474-157492852	chr5	157055474	157492852	0.011213	0.101468295158879	437378	PD62051a	loss	Match	0.639237366220143	141527508	157335062	15807555
Deletion Peak  6	chr6:26174620-26285436	chr6	26174620	26285436	9.7209e-09	0.110823346809125	110816	PD62027a	loss	Match	0.912675852982846	26184297	26405825	221529
Deletion Peak  6	chr6:26174620-26285436	chr6	26174620	26285436	9.7209e-09	0.110823346809125	110816	PD62030a	loss	Match	1	25925933	26430922	504990
Deletion Peak  6	chr6:26174620-26285436	chr6	26174620	26285436	9.7209e-09	0.110823346809125	110816	PD62031a	loss	Match	1	26017235	26368115	350881
Deletion Peak  6	chr6:26174620-26285436	chr6	26174620	26285436	9.7209e-09	0.110823346809125	110816	PD62037a	loss	Match	1	26017314	26365199	347886
Deletion Peak  6	chr6:26174620-26285436	chr6	26174620	26285436	9.7209e-09	0.110823346809125	110816	PD62037c	loss	Match	1	26017282	26285531	268250
Deletion Peak  6	chr6:26174620-26285436	chr6	26174620	26285436	9.7209e-09	0.110823346809125	110816	PD62041a	loss	Match	1	25971821	26411103	439283
Deletion Peak  6	chr6:26174620-26285436	chr6	26174620	26285436	9.7209e-09	0.110823346809125	110816	PD62046a	loss	Match	1	25983549	26285437	301889
Deletion Peak  7	chr9:18899314-19069594	chr9	18899314	19069594	0.13003	0.124377495889124	170280	PD62042a	loss	Match	1	154795	42796064	42641270
Deletion Peak  7	chr9:18899314-19069594	chr9	18899314	19069594	0.13003	0.124377495889124	170280	PD62049a	loss	Match	0.785448758229045	18889760	19033060	143301
Deletion Peak  8	chr11:6600883-6719547	chr11	6600883	6719547	0.098411	0.104454594485269	118664	PD62030a	loss	Match	0.694585598112333	6600882	6683305	82424
Deletion Peak  8	chr11:6600883-6719547	chr11	6600883	6719547	0.098411	0.104454594485269	118664	PD62031a	loss	Match	1	6320018	6720097	400080
Deletion Peak  8	chr11:6600883-6719547	chr11	6600883	6719547	0.098411	0.104454594485269	118664	PD62041a	loss	Match	0.729650697341255	6632964	6719548	86585
Deletion Peak  8	chr11:6600883-6719547	chr11	6600883	6719547	0.098411	0.104454594485269	118664	PD62043a	loss	Match	1	197291	12204237	12006947
Deletion Peak  9	chr11:108092537-108384626	chr11	108092537	108384626	0.13731	0.186809499844226	292089	PD62039a	loss	Match	1	71147159	126358508	55211350
Deletion Peak  9	chr11:108092537-108384626	chr11	108092537	108384626	0.13731	0.186809499844226	292089	PD62041a	loss	Match	0.530360505323702	108142513	108297425	154913
Deletion Peak 10	chr12:6936741-6971023	chr12	6936741	6971023	0.0042587	0.252581529665714	34282	PD62030a	loss	Match	0.789604176997346	6943954	7018368	74415
Deletion Peak 10	chr12:6936741-6971023	chr12	6936741	6971023	0.0042587	0.252581529665714	34282	PD62037a	loss	Match	1	6936740	6971024	34285
Deletion Peak 10	chr12:6936741-6971023	chr12	6936741	6971023	0.0042587	0.252581529665714	34282	PD62037c	loss	Match	0.951667006971385	6938398	6974291	35894
Deletion Peak 10	chr12:6936741-6971023	chr12	6936741	6971023	0.0042587	0.252581529665714	34282	PD62041a	loss	Match	0.698771986115567	6936731	6960696	23966
Deletion Peak 11	chr14:105671208-105919428	chr14	105671208	105919428	0.0011972	0.614374345338812	248220	PD62037a	loss	No_match	No_match	No_match	No_match	No_match
Deletion Peak 11	chr14:105671208-105919428	chr14	105671208	105919428	0.0011972	0.614374345338812	248220	PD62037c	loss	Match	0.777750472361323	105625360	105864261	238902
Deletion Peak 11	chr14:105671208-105919428	chr14	105671208	105919428	0.0011972	0.614374345338812	248220	PD62039a	loss	No_match	No_match	No_match	No_match	No_match
Deletion Peak 12	chr15:81195643-81322584	chr15	81195643	81322584	0.0033132	0.129319920277924	126941	PD62031a	loss	No_match	No_match	No_match	No_match	No_match
Deletion Peak 12	chr15:81195643-81322584	chr15	81195643	81322584	0.0033132	0.129319920277924	126941	PD62037a	loss	Match	0.344842526508169	81278810	81322585	43776
Deletion Peak 12	chr15:81195643-81322584	chr15	81195643	81322584	0.0033132	0.129319920277924	126941	PD62037c	loss	Match	0.339343952356194	81279508	81339352	59845
Deletion Peak 12	chr15:81195643-81322584	chr15	81195643	81322584	0.0033132	0.129319920277924	126941	PD62038a	loss	No_match	No_match	No_match	No_match	No_match
Deletion Peak 12	chr15:81195643-81322584	chr15	81195643	81322584	0.0033132	0.129319920277924	126941	PD62038c	loss	No_match	No_match	No_match	No_match	No_match
Deletion Peak 13	chr17:8127812-8205458	chr17	8127812	8205458	0.0011406	0.188522267727893	77646	PD62027a	loss	Match	0.725166458459438	8149152	8230805	81654
Deletion Peak 13	chr17:8127812-8205458	chr17	8127812	8205458	0.0011406	0.188522267727893	77646	PD62037a	loss	Match	0.800996818936984	8116742	8190006	73265
Deletion Peak 13	chr17:8127812-8205458	chr17	8127812	8205458	0.0011406	0.188522267727893	77646	PD62037c	loss	Match	0.800996818936984	8118038	8190006	71969
Deletion Peak 13	chr17:8127812-8205458	chr17	8127812	8205458	0.0011406	0.188522267727893	77646	PD62038a	loss	Match	1	156162	21304625	21148464
Deletion Peak 13	chr17:8127812-8205458	chr17	8127812	8205458	0.0011406	0.188522267727893	77646	PD62038c	loss	Match	1	7237821	22204172	14966352
Deletion Peak 13	chr17:8127812-8205458	chr17	8127812	8205458	0.0011406	0.188522267727893	77646	PD62041a	loss	Match	0.747485414761678	8147419	8231437	84019
Deletion Peak 13	chr17:8127812-8205458	chr17	8127812	8205458	0.0011406	0.188522267727893	77646	PD62043a	loss	Match	1	156187	22567587	22411401
Deletion Peak 14	chr17:41130861-41349437	chr17	41130861	41349437	0.00019142	0.2304141351292	218576	PD62038a	loss	Match	0.845779748097924	41041225	41315728	274504
Deletion Peak 14	chr17:41130861-41349437	chr17	41130861	41349437	0.00019142	0.2304141351292	218576	PD62039a	loss	Match	1	41026898	41366604	339707
Deletion Peak 14	chr17:41130861-41349437	chr17	41130861	41349437	0.00019142	0.2304141351292	218576	PD62041a	loss	Match	1	8231646	83135759	74904114
Deletion Peak 14	chr17:41130861-41349437	chr17	41130861	41349437	0.00019142	0.2304141351292	218576	PD62042a	loss	Match	0.955654071562882	41140554	41365036	224483
Deletion Peak 14	chr17:41130861-41349437	chr17	41130861	41349437	0.00019142	0.2304141351292	218576	PD62043a	loss	Match	1	40193646	59197764	19004119
Deletion Peak 14	chr17:41130861-41349437	chr17	41130861	41349437	0.00019142	0.2304141351292	218576	PD62049a	loss	Match	1	41101818	41424481	322664
Deletion Peak 15	chr19:3936472-3976600	chr19	3936472	3976600	0.13731	0.371710526315789	40128	PD62030a	loss	Match	0.325824216900496	3963526	4013391	49866
Deletion Peak 15	chr19:3936472-3976600	chr19	3936472	3976600	0.13731	0.371710526315789	40128	PD62039a	loss	Match	1	281360	14381454	14100095
Deletion Peak 15	chr19:3936472-3976600	chr19	3936472	3976600	0.13731	0.371710526315789	40128	PD62042a	loss	Match	0.712477260833811	3920672	3965062	44391
Deletion Peak 16	chr19:58488848-58617616	chr19	58488848	58617616	0.19131	0.378176254970179	128768	PD62030a	loss	Match	0.649799252925782	58480376	58572521	92146
Deletion Peak 16	chr19:58488848-58617616	chr19	58488848	58617616	0.19131	0.378176254970179	128768	PD62037a	loss	Match	0.452003199527837	58514318	58572521	58204
